2020-06-08 19:34:20 INFO  App:19 - Connecting to codenation API Caesar cipher generator ...
2020-06-08 19:34:22 INFO  Cryptography:20 - Decoding cipher ...
2020-06-08 19:34:22 INFO  Cryptography:38 - Decoded succesfully.
2020-06-08 19:34:22 INFO  Cryptography:45 - Starting SHA-1 encryption ...
2020-06-08 19:34:22 INFO  Cryptography:56 - SHA-1 encrypted succesfully.
2020-06-08 19:34:22 INFO  App:36 - Submiting answer.json ...
2020-06-08 19:34:24 INFO  App:38 - Submited answer.json ...
2020-06-08 19:34:44 INFO  App:19 - Connecting to codenation API Caesar cipher generator ...
2020-06-08 19:34:47 INFO  Cryptography:20 - Decoding cipher ...
2020-06-08 19:34:47 INFO  Cryptography:38 - Decoded succesfully.
2020-06-08 19:34:47 INFO  Cryptography:45 - Starting SHA-1 encryption ...
2020-06-08 19:34:47 INFO  Cryptography:56 - SHA-1 encrypted succesfully.
2020-06-08 19:34:47 INFO  App:36 - Submiting answer.json ...
2020-06-08 19:34:48 INFO  App:38 - Submited answer.json ...
2020-06-08 19:35:22 INFO  App:19 - Connecting to codenation API Caesar cipher generator ...
2020-06-08 19:35:24 INFO  Cryptography:20 - Decoding cipher ...
2020-06-08 19:35:24 INFO  Cryptography:38 - Decoded succesfully.
2020-06-08 19:35:24 INFO  Cryptography:45 - Starting SHA-1 encryption ...
2020-06-08 19:35:24 INFO  Cryptography:56 - SHA-1 encrypted succesfully.
2020-06-08 19:35:24 INFO  App:36 - Submiting answer.json ...
2020-06-08 19:35:26 INFO  App:38 - Submited answer.json ...
